creation_datetime,last_change_datetime,id,racer_id,race_id,qualification_place,qualification_points,place,points,punishments,extras,fastest_lap,driver_of_the_day,punishment_and_extras_description,name,total_points
2024-02-01 13:46:02.740635,2024-02-01 13:46:02.757847,140,3,8,4,5.0,1,30.0,0.0,0.0,False,False,,Racer: Miguel Caeiro in Race: Vila Real  in November 2023,35.0
2024-02-01 13:46:02.795531,2024-02-01 13:46:02.801111,141,9,8,6,1.0,1,30.0,0.0,0.0,False,False,,Racer: Pedro Pacheco in Race: Vila Real  in November 2023,31.0
2024-02-01 13:46:02.830080,2024-02-01 13:46:02.839535,142,7,8,8,0.0,1,30.0,0.0,0.0,False,False,,Racer: Henrique Vilas in Race: Vila Real  in November 2023,30.0
2024-02-01 13:46:02.886976,2024-02-01 13:46:02.941495,143,29,8,2,8.0,1,30.0,0.0,0.0,False,False,,Racer: José Couceiro in Race: Vila Real  in November 2023,38.0
2024-02-01 13:46:03.032615,2024-02-01 13:46:03.044754,144,10,8,7,0.0,1,30.0,0.0,0.0,False,False,,Racer: Francisco Freitas in Race: Vila Real  in November 2023,30.0
2024-02-01 13:46:03.085230,2024-02-01 13:46:03.108156,145,17,8,1,9.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Ramalho in Race: Vila Real  in November 2023,39.0
2024-02-01 13:46:03.161008,2024-02-01 13:46:03.177278,146,4,8,9,0.0,1,30.0,0.0,0.0,False,False,,Racer: Dinis Brito e Faro in Race: Vila Real  in November 2023,30.0
2024-02-01 13:46:03.224527,2024-02-01 13:46:03.237651,147,12,8,10,0.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Garrett in Race: Vila Real  in November 2023,30.0
2024-02-01 13:46:03.346962,2024-02-01 13:46:03.371997,148,5,8,3,6.0,1,30.0,0.0,0.0,False,False,,Racer: Alexandre Campelo in Race: Vila Real  in November 2023,36.0
2024-02-01 13:46:03.468387,2024-02-01 13:46:03.482437,149,31,8,11,0.0,1,30.0,0.0,0.0,False,False,,Racer: Maria Campelo in Race: Vila Real  in November 2023,30.0
2024-02-01 13:46:03.575721,2024-02-01 13:46:03.593280,150,1,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Matos Gil in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.600583,2024-02-01 13:46:03.607048,151,6,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Luís Ferreira in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.612805,2024-02-01 13:46:03.618761,152,8,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Lima in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.626464,2024-02-01 13:46:03.642129,153,11,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Luís Dias in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.654208,2024-02-01 13:46:03.662994,154,13,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Miguel Sousa Guedes in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.675226,2024-02-01 13:46:03.682339,155,14,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Tomás Marrana in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.693429,2024-02-01 13:46:03.699568,156,15,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: José Pedro Raimundo in Race: Vila Real  in November 2023,0.0
2024-02-01 13:46:03.714571,2024-02-01 13:46:03.725114,157,16,8,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: António Guimarães in Race: Vila Real  in November 2023,0.0
